account_id,company_name,industry,customer_segment,contract_type,payment_method,tenure_months,monthly_charges,total_charges,contract_licenses,active_users,support_tickets_30d,sla_breaches_90d,nps_score,last_login_days_ago,feature_usage_score,executive_sponsor_present,discount_percentage,paperless_billing,auto_renewal,churn
AC-1751,Apex Networks,Logistics,Mid-Market,2-Year Fixed,Credit Card,47,1459.45,70712.5,33,13,6,0,8,1,37.2,1,0,1,0,0
AC-1752,Omni Global,E-Commerce,Mid-Market,2-Year Fixed,Auto-Invoice,29,1036.31,30265.65,47,34,4,2,7,1,71.7,0,5,1,1,0
AC-1753,Zenith Global,Enterprise Tech,Mid-Market,1-Year Fixed,Manual Wire,45,1986.83,85030.93,36,36,3,0,8,0,43.2,1,10,1,1,0
AC-1754,Starlight Data,Healthcare,Mid-Market,Month-to-Month,Auto-Invoice,9,1223.16,11296.5,50,36,2,2,7,1,50.7,1,10,0,0,1
AC-1755,Vortex Solutions,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,24,1487.78,34302.01,37,31,4,0,10,5,81.2,1,15,1,1,0
AC-1756,Apex Labs,Financial Services,Mid-Market,Month-to-Month,Auto-Invoice,15,777.41,11214.38,77,65,3,2,8,8,64.4,0,5,1,1,1
AC-1757,Starlight Cloud,Financial Services,SMB,Month-to-Month,Auto-Invoice,36,723.13,26307.65,24,13,4,1,7,6,80.6,0,5,0,1,0
AC-1758,Titan Solutions,Enterprise Tech,Enterprise,Month-to-Month,Credit Card,13,2226.8,30348.11,396,222,4,0,7,3,64.0,1,5,1,0,1
AC-1759,Nexus Networks,Financial Services,SMB,Month-to-Month,ACH Direct Debit,44,400.04,17148.58,20,16,6,1,9,0,87.9,0,15,1,0,0
AC-1760,Synergy Data,Enterprise Tech,Mid-Market,1-Year Fixed,Credit Card,71,1836.39,132284.83,68,44,7,1,9,19,63.7,1,10,1,1,0
AC-1761,Starlight Labs,Logistics,SMB,3-Year Enterprise,Manual Wire,72,317.96,22443.62,24,17,2,0,7,1,32.8,1,20,1,1,0
AC-1762,Omni Technologies,Professional Services,Mid-Market,1-Year Fixed,Credit Card,36,1194.4,44712.86,76,61,5,1,5,6,72.1,1,20,1,1,0
AC-1763,Solstice Health,Enterprise Tech,SMB,2-Year Fixed,Credit Card,61,287.98,17731.06,10,8,1,1,5,15,29.0,1,5,0,0,0
AC-1764,Vortex Labs,Professional Services,Enterprise,2-Year Fixed,Auto-Invoice,40,4568.81,177406.48,86,42,2,0,7,7,41.9,0,5,1,0,1
AC-1765,Crest Global,Healthcare,SMB,Month-to-Month,ACH Direct Debit,27,370.08,9754.48,12,5,5,3,10,1,52.1,1,10,1,1,1
AC-1766,Starlight Logistics,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,1,4679.5,4647.9,62,31,6,0,7,2,49.9,0,0,1,1,0
AC-1767,Hyperion Data,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,34,674.49,22065.91,9,6,4,0,6,0,58.2,0,0,1,1,0
AC-1768,Quantum Systems,Healthcare,SMB,1-Year Fixed,Manual Wire,68,549.19,35771.7,15,8,4,2,4,5,49.2,1,15,0,1,0
AC-1769,Titan Capital,Logistics,Enterprise,Month-to-Month,Manual Wire,21,3413.41,72972.32,498,348,5,0,10,5,42.7,0,5,1,0,1
AC-1770,Aegis Networks,E-Commerce,Enterprise,3-Year Enterprise,Credit Card,33,2721.29,88968.89,381,129,2,0,8,7,95.8,0,10,0,1,0
AC-1771,Apex Solutions,Enterprise Tech,SMB,Month-to-Month,Credit Card,7,544.54,3898.01,7,5,4,1,9,0,55.8,0,10,1,0,0
AC-1772,Nexus Systems,Enterprise Tech,Enterprise,Month-to-Month,ACH Direct Debit,65,1921.16,120005.99,132,74,4,1,9,10,27.8,1,15,1,1,0
AC-1773,Solstice Health,Financial Services,SMB,3-Year Enterprise,Auto-Invoice,3,441.36,1338.63,12,8,8,0,7,8,61.5,1,0,1,1,0
AC-1774,Quantum Solutions,Financial Services,Enterprise,Month-to-Month,Credit Card,51,3056.08,154976.46,461,275,2,0,7,0,47.8,1,10,0,1,0
AC-1775,Zenith Health,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,54,1994.47,102940.96,383,191,1,1,10,2,52.1,1,5,1,1,0
AC-1776,Synergy Health,Financial Services,SMB,2-Year Fixed,Credit Card,59,703.31,41681.2,18,17,7,2,8,6,80.8,1,15,1,0,0
AC-1777,Hyperion Technologies,Logistics,Mid-Market,2-Year Fixed,Auto-Invoice,6,1412.73,8122.75,64,27,2,0,8,4,59.9,1,5,1,0,0
AC-1778,Aegis Corp,Manufacturing,SMB,3-Year Enterprise,Auto-Invoice,29,519.3,15553.24,8,6,1,1,9,0,47.3,0,20,1,1,0
AC-1779,Titan Logistics,Financial Services,Mid-Market,3-Year Enterprise,Auto-Invoice,17,1007.21,17348.52,27,26,3,0,9,0,76.0,1,5,1,1,0
AC-1780,Zenith Solutions,Manufacturing,Mid-Market,Month-to-Month,Credit Card,60,973.1,58718.61,61,41,5,2,7,9,88.7,1,20,1,1,0
AC-1781,Synergy Labs,Financial Services,Mid-Market,2-Year Fixed,Credit Card,22,1667.55,35341.44,64,58,3,0,7,1,77.7,0,15,1,1,0
AC-1782,Aegis Technologies,Healthcare,Mid-Market,1-Year Fixed,Auto-Invoice,24,959.54,22539.5,26,10,4,1,9,1,23.8,0,10,1,1,1
AC-1783,Vortex Labs,Enterprise Tech,Mid-Market,1-Year Fixed,Credit Card,51,1224.77,62418.77,27,17,5,0,9,10,47.9,1,5,1,0,0
AC-1784,Titan Corp,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,50,1572.7,79683.07,23,14,4,0,10,5,68.9,1,5,1,0,0
AC-1785,Acme Technologies,Professional Services,Mid-Market,1-Year Fixed,Credit Card,11,711.46,7578.15,73,22,2,0,8,5,63.6,1,15,1,0,0
AC-1786,Vortex Systems,E-Commerce,Enterprise,3-Year Enterprise,Credit Card,56,3410.49,181607.4,359,219,4,2,8,4,62.1,1,10,1,1,0
AC-1787,Omni Health,Financial Services,SMB,3-Year Enterprise,Credit Card,71,207.11,14476.53,23,13,4,1,6,5,50.3,1,5,1,1,0
AC-1788,Hyperion Logistics,E-Commerce,Enterprise,1-Year Fixed,ACH Direct Debit,42,3766.72,157931.26,469,361,4,0,6,5,42.7,1,10,1,0,0
AC-1789,Crest Networks,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,39,1117.9,42222.29,59,56,2,1,9,21,100.0,1,10,1,1,0
AC-1790,Omni Logistics,Manufacturing,Enterprise,1-Year Fixed,ACH Direct Debit,69,2527.42,174255.35,262,94,5,1,6,1,68.5,1,0,1,0,0
AC-1791,Hyperion Labs,Healthcare,Mid-Market,2-Year Fixed,Credit Card,48,1061.96,50150.78,48,25,7,1,7,1,79.6,0,0,1,0,0
AC-1792,Aegis Health,Financial Services,Mid-Market,2-Year Fixed,Credit Card,57,1731.44,98248.85,30,18,6,0,10,0,68.1,0,0,1,1,0
AC-1793,Velocity Technologies,Healthcare,Enterprise,1-Year Fixed,Credit Card,21,4463.88,92311.53,149,92,1,0,10,6,68.8,1,0,1,1,0
AC-1794,Aegis Capital,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,20,4643.8,94069.16,194,163,4,0,8,4,66.9,0,5,1,1,0
AC-1795,Vortex Data,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,15,2774.25,39711.57,59,36,3,0,7,0,47.8,0,15,1,1,0
AC-1796,Zenith Health,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,69,1841.67,122893.25,52,17,3,0,7,2,40.7,1,5,1,0,0
AC-1797,Omni Networks,Enterprise Tech,SMB,3-Year Enterprise,Auto-Invoice,51,573.03,29028.0,21,17,4,5,9,1,75.0,0,0,0,1,0
AC-1798,Titan Systems,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,62,1773.03,108348.16,435,400,6,0,7,2,71.4,1,5,1,1,0
AC-1799,Titan Labs,Logistics,Mid-Market,Month-to-Month,Auto-Invoice,37,1861.02,68111.54,53,35,1,2,6,18,84.9,0,25,1,1,1
AC-1800,Crest Logistics,Logistics,Mid-Market,1-Year Fixed,Manual Wire,6,738.42,4565.1,55,39,4,1,10,7,81.2,1,5,1,0,0
AC-1801,Solstice Solutions,Healthcare,Mid-Market,Month-to-Month,Credit Card,71,763.95,56335.93,62,26,2,0,8,0,53.4,1,20,1,0,0
AC-1802,Crest Technologies,Healthcare,SMB,3-Year Enterprise,Auto-Invoice,26,678.25,17191.29,7,3,4,0,6,1,88.4,1,0,0,0,0
AC-1803,Aegis Systems,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,8,1943.68,16072.51,64,30,6,0,8,0,81.8,1,0,1,0,0
AC-1804,Nexus Labs,Logistics,Mid-Market,1-Year Fixed,Credit Card,4,1486.3,5920.7,15,9,5,0,9,7,80.4,1,10,1,1,0
AC-1805,Starlight Global,Financial Services,Enterprise,1-Year Fixed,ACH Direct Debit,21,1801.47,36975.21,385,366,2,1,5,3,100.0,1,5,1,0,0
AC-1806,Titan Labs,Healthcare,Enterprise,1-Year Fixed,Auto-Invoice,31,2910.45,94603.93,284,189,4,0,7,31,100.0,1,15,1,1,0
AC-1807,Aegis Capital,Financial Services,Enterprise,1-Year Fixed,Auto-Invoice,21,1944.83,42167.97,394,171,7,0,7,8,80.4,0,15,1,1,1
AC-1808,Aegis Corp,Enterprise Tech,Enterprise,2-Year Fixed,ACH Direct Debit,25,4515.11,118456.77,50,24,1,2,8,4,78.2,0,0,1,1,1
AC-1809,Apex Cloud,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,15,1150.52,16685.17,24,14,3,0,9,10,87.5,0,10,1,0,0
AC-1810,Synergy Capital,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,35,1756.91,59301.77,42,31,4,0,6,7,57.5,0,10,0,1,0
AC-1811,Nexus Technologies,E-Commerce,Mid-Market,Month-to-Month,Manual Wire,49,974.21,47752.42,48,29,2,1,4,1,57.7,0,15,1,0,1
AC-1812,Vortex Networks,Financial Services,Enterprise,1-Year Fixed,Credit Card,43,3249.87,141681.88,299,172,4,0,9,4,80.1,0,5,1,0,0
AC-1813,Velocity Capital,Enterprise Tech,Enterprise,Month-to-Month,Auto-Invoice,41,2666.85,105744.19,271,188,4,0,5,4,52.6,1,0,1,0,1
AC-1814,Hyperion Technologies,Healthcare,Mid-Market,1-Year Fixed,Auto-Invoice,37,1203.07,46118.0,66,31,1,0,8,3,78.7,1,10,1,1,0
AC-1815,Omni Capital,Enterprise Tech,SMB,2-Year Fixed,Auto-Invoice,57,272.34,15573.08,20,7,2,1,7,1,70.8,0,20,1,0,0
AC-1816,Apex Logistics,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,42,2550.95,106185.73,324,103,2,0,8,1,52.6,1,0,1,1,0
AC-1817,Starlight Corp,E-Commerce,SMB,1-Year Fixed,ACH Direct Debit,47,635.54,30175.22,9,4,3,2,10,2,68.5,1,0,1,0,0
AC-1818,Nexus Global,Enterprise Tech,Mid-Market,1-Year Fixed,Credit Card,61,1257.73,77756.92,40,15,4,2,10,0,91.5,1,5,1,1,0
AC-1819,Starlight Cloud,Logistics,Mid-Market,Month-to-Month,ACH Direct Debit,14,1385.34,18508.0,32,17,1,1,4,15,69.5,1,15,0,1,0
AC-1820,Apex Cloud,Enterprise Tech,Mid-Market,1-Year Fixed,Manual Wire,68,799.64,57093.71,60,50,7,0,9,7,69.6,0,5,1,1,0
AC-1821,Zenith Cloud,Enterprise Tech,Enterprise,2-Year Fixed,Credit Card,53,4096.0,214133.86,361,289,3,0,7,7,73.9,1,0,1,0,0
AC-1822,Vortex Health,E-Commerce,Enterprise,Month-to-Month,Auto-Invoice,34,4040.78,131362.71,489,356,4,2,9,5,76.3,1,10,1,1,0
AC-1823,Titan Solutions,Financial Services,Mid-Market,1-Year Fixed,Credit Card,24,1149.43,28558.25,49,44,3,0,9,7,62.0,1,0,1,1,0
AC-1824,Omni Health,Enterprise Tech,Mid-Market,2-Year Fixed,Manual Wire,20,991.05,20798.21,74,37,1,1,10,24,74.3,1,0,1,0,1
AC-1825,Acme Capital,Financial Services,SMB,2-Year Fixed,ACH Direct Debit,69,281.82,20060.76,8,7,4,1,8,2,49.1,1,5,1,1,0
AC-1826,Apex Systems,Financial Services,Mid-Market,Month-to-Month,Auto-Invoice,30,1556.67,48343.39,66,38,6,1,5,7,53.6,1,5,0,1,0
AC-1827,Acme Cloud,Logistics,Enterprise,1-Year Fixed,Credit Card,7,3479.07,24660.19,472,274,4,1,9,2,55.9,1,5,1,1,0
AC-1828,Quantum Logistics,Financial Services,Mid-Market,Month-to-Month,Credit Card,36,1503.04,56394.62,75,44,3,0,7,11,76.5,0,0,1,1,0
AC-1829,Acme Networks,Logistics,Enterprise,Month-to-Month,Manual Wire,38,2502.32,90673.58,488,180,2,0,7,12,70.9,1,5,0,0,1
AC-1830,Nexus Global,Manufacturing,Mid-Market,3-Year Enterprise,Auto-Invoice,52,1162.28,62050.6,72,71,4,3,6,14,65.6,1,15,1,0,0
AC-1831,Vortex Labs,Financial Services,Mid-Market,2-Year Fixed,Credit Card,15,1761.94,26880.27,78,31,4,1,9,0,80.4,1,5,1,1,0
AC-1832,Crest Data,Manufacturing,SMB,2-Year Fixed,ACH Direct Debit,46,720.89,31667.32,12,6,6,2,10,2,74.8,1,10,1,0,0
AC-1833,Nexus Technologies,Financial Services,SMB,Month-to-Month,Credit Card,23,277.45,6409.41,5,3,2,1,5,0,62.8,0,0,1,1,1
AC-1834,Vortex Data,Professional Services,Mid-Market,2-Year Fixed,Credit Card,12,1356.41,16301.43,24,8,3,1,9,3,49.4,0,0,1,1,0
AC-1835,Nexus Labs,Enterprise Tech,Mid-Market,1-Year Fixed,Auto-Invoice,44,912.16,40903.76,53,22,3,2,6,4,53.2,1,15,0,1,0
AC-1836,Crest Cloud,E-Commerce,SMB,Month-to-Month,Auto-Invoice,15,296.51,4259.75,6,2,6,1,4,1,41.6,0,5,1,1,1
AC-1837,Aegis Systems,Healthcare,Enterprise,1-Year Fixed,Auto-Invoice,49,2786.26,140694.61,468,236,4,0,8,7,70.5,0,5,1,1,0
AC-1838,Zenith Systems,Financial Services,Enterprise,Month-to-Month,Manual Wire,21,2795.94,56597.51,396,359,1,1,5,1,52.5,1,15,1,0,0
AC-1839,Titan Health,E-Commerce,Enterprise,2-Year Fixed,Auto-Invoice,15,3532.93,52562.92,54,29,2,1,4,11,59.1,0,10,1,0,0
AC-1840,Synergy Systems,E-Commerce,Enterprise,1-Year Fixed,Credit Card,14,1909.98,27759.27,251,97,6,0,6,1,65.7,0,15,1,1,0
AC-1841,Velocity Data,Enterprise Tech,Mid-Market,Month-to-Month,Credit Card,42,1184.94,50068.73,60,45,3,0,5,2,86.8,1,10,1,1,0
AC-1842,Solstice Capital,Enterprise Tech,Mid-Market,Month-to-Month,Auto-Invoice,15,968.27,14349.17,74,74,2,1,6,5,84.7,0,0,1,1,0
AC-1843,Nexus Capital,E-Commerce,Mid-Market,Month-to-Month,Credit Card,63,699.4,42071.48,23,11,1,0,4,5,67.0,0,20,1,1,0
AC-1844,Velocity Labs,E-Commerce,Enterprise,Month-to-Month,ACH Direct Debit,68,4645.45,321332.56,235,116,3,0,6,0,90.8,0,20,0,1,0
AC-1845,Apex Networks,Professional Services,Mid-Market,1-Year Fixed,ACH Direct Debit,27,1844.86,52234.77,74,73,3,0,6,11,31.8,1,0,1,1,1
AC-1846,Omni Technologies,Logistics,Mid-Market,2-Year Fixed,Credit Card,53,1545.84,85303.35,42,18,4,0,8,5,100.0,1,15,1,0,0
AC-1847,Hyperion Capital,Professional Services,Mid-Market,Month-to-Month,Credit Card,52,949.55,50449.53,17,11,4,1,8,12,80.5,0,5,1,1,0
AC-1848,Acme Solutions,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,63,1403.02,84901.43,65,30,1,0,8,12,69.9,0,10,1,1,0
AC-1849,Acme Data,Financial Services,Mid-Market,1-Year Fixed,Manual Wire,53,1920.53,99135.9,22,21,2,2,7,4,52.0,1,0,1,1,0
AC-1850,Velocity Cloud,Enterprise Tech,Enterprise,2-Year Fixed,Auto-Invoice,57,1762.82,97334.18,470,464,3,1,7,14,60.1,0,5,0,0,0
AC-1851,Titan Health,Logistics,Enterprise,Month-to-Month,ACH Direct Debit,52,3425.34,175543.2,161,140,1,2,5,11,79.0,1,0,1,1,1
AC-1852,Zenith Logistics,E-Commerce,SMB,Month-to-Month,Auto-Invoice,43,699.4,29278.79,11,6,3,0,5,19,79.4,1,5,1,1,0
AC-1853,Velocity Logistics,Enterprise Tech,SMB,1-Year Fixed,Manual Wire,7,266.96,1820.96,22,13,4,1,9,11,80.0,0,0,1,0,0
AC-1854,Synergy Systems,Financial Services,Mid-Market,Month-to-Month,ACH Direct Debit,42,791.27,33621.27,23,11,6,1,4,10,54.9,1,5,1,1,0
AC-1855,Synergy Logistics,Professional Services,Enterprise,Month-to-Month,ACH Direct Debit,4,4255.58,16713.71,427,394,3,0,7,3,51.3,0,10,0,1,0
AC-1856,Omni Technologies,Healthcare,Mid-Market,2-Year Fixed,Auto-Invoice,69,1951.2,137017.99,31,29,5,1,7,1,71.5,0,15,1,1,0
AC-1857,Titan Networks,Financial Services,Mid-Market,1-Year Fixed,Credit Card,5,1285.59,6715.85,68,40,5,0,8,14,81.9,0,0,1,1,1
AC-1858,Solstice Labs,Healthcare,SMB,1-Year Fixed,Credit Card,41,793.9,33000.64,12,9,2,1,4,7,68.1,1,15,1,0,0
AC-1859,Synergy Health,Enterprise Tech,Enterprise,2-Year Fixed,ACH Direct Debit,4,2325.81,9537.36,407,169,6,0,7,2,94.7,0,5,0,1,0
AC-1860,Nexus Capital,Financial Services,Enterprise,1-Year Fixed,Auto-Invoice,2,3766.9,7723.34,105,63,2,1,8,2,68.6,1,15,0,0,1
AC-1861,Vortex Cloud,Financial Services,Mid-Market,Month-to-Month,Manual Wire,67,1996.57,131505.5,63,47,4,1,3,7,68.0,0,5,1,1,0
AC-1862,Synergy Solutions,Enterprise Tech,Mid-Market,1-Year Fixed,ACH Direct Debit,21,1053.47,21049.82,68,39,2,0,5,3,80.1,1,15,1,0,0
AC-1863,Velocity Corp,Logistics,Enterprise,Month-to-Month,Auto-Invoice,70,4517.67,302165.87,234,129,7,1,7,0,89.9,0,10,0,0,0
AC-1864,Synergy Global,Financial Services,Enterprise,Month-to-Month,ACH Direct Debit,43,3978.79,167359.28,103,31,3,0,8,0,43.7,0,5,1,0,1
AC-1865,Vortex Cloud,Logistics,Mid-Market,1-Year Fixed,Credit Card,69,1097.37,77153.72,22,19,1,1,8,8,47.9,1,5,1,0,0
AC-1866,Titan Networks,Manufacturing,SMB,2-Year Fixed,Credit Card,9,726.1,6800.66,11,10,2,1,8,2,62.4,1,20,1,1,0
AC-1867,Apex Capital,Enterprise Tech,SMB,3-Year Enterprise,Auto-Invoice,28,691.71,20256.47,13,13,4,0,5,4,100.0,1,15,1,1,0
AC-1868,Nexus Data,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,26,1283.82,31796.64,22,18,5,1,4,8,63.3,0,5,1,1,1
AC-1869,Crest Solutions,Healthcare,Mid-Market,Month-to-Month,ACH Direct Debit,3,1303.9,4103.41,42,29,5,0,7,8,65.8,1,0,1,0,0
AC-1870,Nexus Labs,Manufacturing,Enterprise,Month-to-Month,Credit Card,49,4017.8,193377.66,269,131,5,1,5,1,79.1,1,15,1,1,1
AC-1871,Aegis Capital,Enterprise Tech,Mid-Market,2-Year Fixed,Credit Card,17,604.95,10636.85,66,66,6,0,5,0,85.6,0,25,1,1,1
AC-1872,Titan Networks,E-Commerce,Mid-Market,1-Year Fixed,Credit Card,63,1903.58,116091.47,29,21,3,0,9,5,71.1,1,0,1,1,0
AC-1873,Synergy Data,E-Commerce,Mid-Market,1-Year Fixed,ACH Direct Debit,55,1106.03,58172.69,18,14,6,0,8,8,89.0,1,20,1,1,0
AC-1874,Synergy Capital,Financial Services,Mid-Market,2-Year Fixed,Auto-Invoice,23,1155.7,26257.76,76,59,4,0,6,0,46.5,1,0,1,0,0
AC-1875,Apex Corp,Enterprise Tech,Enterprise,2-Year Fixed,ACH Direct Debit,34,3561.17,125425.64,347,309,6,1,6,2,54.2,1,20,0,0,0
AC-1876,Zenith Technologies,E-Commerce,Enterprise,2-Year Fixed,Credit Card,69,2875.55,192873.75,50,15,2,0,9,12,88.9,1,10,1,1,0
AC-1877,Acme Solutions,E-Commerce,Mid-Market,Month-to-Month,Auto-Invoice,15,1725.52,24987.14,69,31,6,1,8,17,68.2,0,5,1,1,1
AC-1878,Apex Logistics,Financial Services,Enterprise,2-Year Fixed,Auto-Invoice,47,2916.76,142705.63,497,381,6,0,5,3,45.3,1,5,1,1,0
AC-1879,Crest Solutions,E-Commerce,Enterprise,2-Year Fixed,Credit Card,3,4687.99,14680.45,333,309,5,0,3,0,44.2,0,10,1,0,0
AC-1880,Synergy Global,Financial Services,SMB,Month-to-Month,ACH Direct Debit,28,538.17,14334.23,17,13,0,0,10,1,53.4,1,10,1,1,0
AC-1881,Titan Solutions,E-Commerce,Mid-Market,1-Year Fixed,Auto-Invoice,3,1592.21,4885.27,16,9,2,1,5,1,68.0,0,20,1,1,1
AC-1882,Solstice Cloud,Enterprise Tech,Mid-Market,Month-to-Month,ACH Direct Debit,4,1310.13,5140.53,62,34,4,1,8,1,76.4,0,15,1,1,0
AC-1883,Synergy Solutions,Manufacturing,SMB,3-Year Enterprise,Auto-Invoice,31,535.98,16407.2,13,11,5,2,10,4,62.1,1,5,1,1,1
AC-1884,Nexus Cloud,Financial Services,SMB,Month-to-Month,Credit Card,45,578.83,25966.87,20,16,4,0,8,5,74.9,1,20,1,0,0
AC-1885,Synergy Corp,Financial Services,Mid-Market,1-Year Fixed,Manual Wire,59,1115.06,65306.91,60,43,8,1,6,0,60.1,1,10,1,0,0
AC-1886,Zenith Systems,Enterprise Tech,SMB,Month-to-Month,ACH Direct Debit,45,459.54,20710.26,6,3,3,0,4,13,90.0,1,15,0,1,0
AC-1887,Zenith Labs,Enterprise Tech,Mid-Market,2-Year Fixed,Auto-Invoice,37,953.42,35567.08,30,28,6,1,4,5,100.0,0,15,1,1,1
AC-1888,Crest Health,Healthcare,Mid-Market,Month-to-Month,Credit Card,65,1407.12,91148.13,54,37,2,1,8,5,60.9,1,20,1,0,0
AC-1889,Quantum Data,Financial Services,Mid-Market,Month-to-Month,Auto-Invoice,9,1949.38,17898.05,44,38,3,2,10,26,76.6,1,0,1,0,0
AC-1890,Velocity Health,Logistics,Mid-Market,1-Year Fixed,Credit Card,17,880.09,15288.59,79,36,2,1,6,6,75.2,1,10,1,1,0
AC-1891,Titan Health,Enterprise Tech,Mid-Market,3-Year Enterprise,ACH Direct Debit,65,733.35,47383.46,72,39,1,1,6,16,70.5,1,5,1,0,0
AC-1892,Velocity Networks,Financial Services,Mid-Market,Month-to-Month,ACH Direct Debit,3,767.16,2219.19,62,57,2,1,9,2,79.8,1,5,1,1,0
AC-1893,Starlight Labs,Financial Services,Enterprise,Month-to-Month,Auto-Invoice,26,3533.69,93168.07,260,87,4,0,6,1,76.6,1,5,1,1,1
AC-1894,Apex Systems,Enterprise Tech,Mid-Market,2-Year Fixed,Manual Wire,53,1090.15,59355.04,16,11,4,1,8,4,59.5,1,15,0,1,0
AC-1895,Nexus Capital,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,31,4665.95,146642.13,330,210,7,0,7,4,91.7,0,5,1,1,0
AC-1896,Solstice Solutions,Financial Services,Mid-Market,3-Year Enterprise,Auto-Invoice,26,1093.98,28693.94,31,26,1,0,6,1,71.6,1,5,0,0,0
AC-1897,Starlight Solutions,Healthcare,Mid-Market,Month-to-Month,Credit Card,23,1503.46,33643.9,45,22,2,2,7,7,61.1,0,0,1,1,1
AC-1898,Solstice Labs,Financial Services,Mid-Market,1-Year Fixed,Credit Card,30,1365.5,41559.55,24,11,5,2,10,0,100.0,1,0,1,0,0
AC-1899,Acme Systems,Healthcare,SMB,Month-to-Month,Credit Card,10,473.64,4658.18,17,16,3,0,8,7,65.9,1,10,1,1,0
AC-1900,Omni Health,Healthcare,SMB,Month-to-Month,Credit Card,72,528.35,39637.25,18,13,1,0,9,3,72.6,0,0,1,1,1
AC-1901,Velocity Systems,Enterprise Tech,Mid-Market,1-Year Fixed,Credit Card,64,1232.84,80114.64,44,16,3,1,5,7,71.2,0,0,1,0,0
AC-1902,Acme Capital,Healthcare,Mid-Market,1-Year Fixed,Auto-Invoice,22,742.76,15978.25,48,21,4,1,10,3,65.7,1,5,1,0,1
AC-1903,Starlight Data,Professional Services,Mid-Market,2-Year Fixed,ACH Direct Debit,15,702.28,10505.68,32,32,3,1,9,23,76.1,1,0,0,0,0
AC-1904,Aegis Logistics,Healthcare,Enterprise,Month-to-Month,Credit Card,56,3556.43,206062.6,387,169,5,0,4,2,52.8,1,0,1,1,1
AC-1905,Omni Labs,E-Commerce,Enterprise,1-Year Fixed,Auto-Invoice,20,3048.66,59969.97,287,209,6,1,8,24,78.7,0,15,1,0,1
AC-1906,Aegis Data,Financial Services,Enterprise,1-Year Fixed,ACH Direct Debit,47,1884.79,88810.5,428,254,4,1,6,0,36.3,0,15,1,1,0
AC-1907,Hyperion Networks,Logistics,Mid-Market,3-Year Enterprise,Manual Wire,53,660.2,35619.28,72,66,1,2,4,7,44.6,1,5,1,1,0
AC-1908,Quantum Capital,Logistics,Mid-Market,Month-to-Month,Manual Wire,53,770.47,41874.28,41,34,2,1,7,3,100.0,0,5,1,1,0
AC-1909,Aegis Solutions,Healthcare,SMB,Month-to-Month,Auto-Invoice,1,595.23,575.82,17,12,7,0,8,10,45.4,1,20,1,1,0
AC-1910,Acme Networks,Professional Services,Enterprise,1-Year Fixed,Auto-Invoice,2,4446.05,8950.03,413,127,2,2,8,9,32.7,0,0,1,0,1
AC-1911,Starlight Corp,Enterprise Tech,Enterprise,1-Year Fixed,Credit Card,58,4420.08,266931.99,398,365,2,0,7,9,45.8,1,10,1,1,0
AC-1912,Aegis Capital,Enterprise Tech,SMB,Month-to-Month,Auto-Invoice,19,539.0,10720.65,8,5,3,1,7,0,99.3,0,10,1,0,1
AC-1913,Starlight Technologies,Logistics,Enterprise,3-Year Enterprise,Manual Wire,62,3037.04,191236.64,399,380,5,2,10,10,35.7,1,15,1,0,1
AC-1914,Omni Global,Logistics,Mid-Market,Month-to-Month,Auto-Invoice,72,1665.48,125714.36,42,27,5,0,5,1,50.8,1,20,1,1,0
AC-1915,Zenith Logistics,Enterprise Tech,Mid-Market,2-Year Fixed,Auto-Invoice,12,1334.42,16126.31,71,56,8,0,9,0,41.8,1,5,1,1,0
AC-1916,Aegis Solutions,Financial Services,Mid-Market,Month-to-Month,Credit Card,26,911.85,23572.03,72,25,1,2,7,1,63.1,0,5,1,0,1
AC-1917,Acme Logistics,Enterprise Tech,Enterprise,1-Year Fixed,Auto-Invoice,27,2119.5,57521.72,52,43,2,1,5,4,60.2,0,10,0,1,0
AC-1918,Acme Systems,Financial Services,Enterprise,3-Year Enterprise,ACH Direct Debit,29,4209.96,117397.12,327,175,3,1,7,8,59.3,0,20,1,0,1
AC-1919,Titan Global,Logistics,Enterprise,Month-to-Month,Credit Card,15,4518.69,67114.18,105,57,8,0,4,1,100.0,1,15,1,1,0
AC-1920,Quantum Technologies,Healthcare,Mid-Market,3-Year Enterprise,Auto-Invoice,46,1069.74,49003.36,77,29,5,2,6,0,46.4,1,10,1,1,0
AC-1921,Omni Labs,Financial Services,Mid-Market,1-Year Fixed,Auto-Invoice,1,1072.35,1109.74,26,10,7,1,7,6,66.2,1,15,1,1,0
